title,title_number_lab9,is_short_content
"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",,False
Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,1,False
"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",2,False
SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,85,False
"Why EOS, Humm, New Hope, and Sims shares are storming higher today",,False
SWDC partners FTID to boost S’West rural devt,,False
"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",2026,False
LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,2026,False
"Asian stocks rally as oil retreats, Fed in spotlight",,False
Trump administration defends Anthropic blacklisting in US court,,False
Economic Digest: Nepal’s Business News in a Snap,,False
"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",17,False
"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",,False
Heroes of Science and Fiction-TENOKE,,False
Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,,False
"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,1,False
"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",2,False
SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,85,False
"Why EOS, Humm, New Hope, and Sims shares are storming higher today",,False
SWDC partners FTID to boost S’West rural devt,,False
"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",2026,False
LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,2026,False
"Asian stocks rally as oil retreats, Fed in spotlight",,False
Trump administration defends Anthropic blacklisting in US court,,False
Economic Digest: Nepal’s Business News in a Snap,,False
"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",17,False
"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",,False
Heroes of Science and Fiction-TENOKE,,False
Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,,False
"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,1,False
"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",2,False
SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,85,False
"Why EOS, Humm, New Hope, and Sims shares are storming higher today",,False
SWDC partners FTID to boost S’West rural devt,,False
"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",2026,False
LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,2026,False
"Asian stocks rally as oil retreats, Fed in spotlight",,False
Trump administration defends Anthropic blacklisting in US court,,False
Economic Digest: Nepal’s Business News in a Snap,,False
"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",17,False
"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",,False
Heroes of Science and Fiction-TENOKE,,False
Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,,False
"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Untitled record,,False
"Samsung introduces Hearapy, an app that helps reduce motion sickness using sound",,False
Royals #1 Preview: Telepathic Twins Gamble in Seoul's Underworld,1,False
Here's How To Decipher The Different Grades Of Motor Oil,,False
"Newsom Signs Executive Order Requiring AI Companies to Provide Safety, Privacy Guardrails",,False
Economic Digest: Nepal’s Business News in a Snap,,False
Soil Health: How Deep It Goes & How to Improve It | growᴬᴳ,,False
Kobo Libra 2 has better Kobo Remote connectivity,2,False
Mind games: How football stars are fuelling chess boom,,False
Blackline Safety Announces 2026 Voting Results from Shareholders Meeting,2026,False
Toshiba Begins Sampling of 30-34 TB SMR Nearline Hard Disk Drives,30,False
Ticket #64996 (Allow non-ASCII (Unicode) usernames) created,64996,False
"Your Next Sleep Tracker Isn’t a Watch, It’s Your Bedside Lamp",,False
"Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories",,False
Hume Health Hume Band Claims Evaluated: Does It Work or Just Another AI-Powered Fitness Activity Tracker,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Untitled record,,False
Tech4Dev names Abraham Akpan country manager,4,False
Toyota is still trying to make hydrogen-fueled vehicles a reality,,False
Observed and projected climate extremes in northwest highlands of Ethiopia and their implications in potato-based farming systems,,False
Army Reaches Conditional Agreement with Private Industry for Hyperscaled Data Centers,,False
Hollywood High Forever: Mitski’s Residency Shines a Fresh Light on the Famed School’s Rich Show-Biz History,,False
"RAKIA Achieves CMMC Level 1 Compliance, Expanding Access to U.S. Defense Contracts and Accelerating Federal Growth Strategy",1,False
Bitcoin And Ethereum Adoption Gets A Boost From Schwab Launch,,False
"Canadian and Global News Roundup: Space Missions, Scams, Health Alerts, and More",,False
"Chinese Scientists Bioengineering Plants With Firefly Genes to Glow, in Effort to Light Cities at Night",,False
Erdogan's digital Iron Curtain,,False
I didn’t realize how much of Amazon's Fallout set was actually real,,False
Exposing a Radiation-Hardened 2.4 GHz Wi-Fi Receiver to 500 Kilograys,2.4,False
AI-Driven school expanding to major US cities despite union pushback,,False
"Student Asked His Tech Savvy Friend To Permanently Disable A School Chromebook Before Teachers Could Inspect It, So The Friend Used The Opportunity To Settle An Old Score And Fried The Laptop Completely",,True
Red state city piles on charges for grandma arrested for crude costume at Trump protest,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Untitled record,,False
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
The King's Speech,,True
Inception,,True
The Social Network,,True
The Fighter,,True
Toy Story 3,3,True
Alice in Wonderland,,True
Black Swan,,True
In a Better World,,True
The Lost Thing,,True
God of Love,,True
The Wolfman,,True
Strangers No More,,True
Inside Job,,True
The Artist,,True
Hugo,,True
The Iron Lady,,True
The Descendants,,True
The Girl with the Dragon Tattoo,,True
Midnight in Paris,,True
The Help,,True
A Separation,,True
The Fantastic Flying Books of Mr. Morris Lessmore,,False
The Shore,,True
Undefeated,,True
The Muppets,,True
Saving Face,,True
Beginners,,True
Rango,,True
Argo,,True
Life of Pi,,True
Les Misérables,,True
Lincoln,,True
Django Unchained,,True
Skyfall,,True
Silver Linings Playbook,,True
Zero Dark Thirty,,True
Amour,,True
Anna Karenina,,True
Paperman,,True
Brave,,True
Searching for Sugar Man,,True
Inocente,,True
Curfew,,True
12 Years a Slave,12,True
Gravity,,True
Dallas Buyers Club,,True
Frozen,,True
The Great Gatsby,,True
Her,,True
Blue Jasmine,,True
Mr Hublot,,True
The Lady in Number 6: Music Saved My Life,6,False
Helium,,True
The Great Beauty,,True
20 Feet from Stardom,20,True
Birdman,,True
The Grand Budapest Hotel,,True
Whiplash,,True
The Imitation Game,,True
American Sniper,,True
Boyhood,,True
Interstellar,,True
The Theory of Everything,,True
Ida,,True
Selma,,True
Citizenfour,,True
Big Hero 6,6,True
Crisis Hotline: Veterans Press 1,1,True
The Phone Call,,True
Still Alice,,True
Feast,,True
Spotlight,,True
Mad Max: Fury Road,,True
The Revenant,,True
Bridge of Spies,,True
The Big Short,,True
The Danish Girl,,True
Room,,True
Ex Machina,,True
The Hateful Eight,,True
Inside Out,,True
Amy,,True
Bear Story,,True
A Girl in the River: The Price of Forgiveness,,False
Son of Saul,,True
Spectre,,True
Stutterer,,True
Untitled record,,False
Untitled record,,False
Untitled record,,False
Oklahoma Considers Using Aerial Photography to Assess Property Taxes Without Inspections,,False
SoftServe Launches New Brand Identity: ‘Technology Elevated’,,False
Billions Lost to Server Outages in 2025: Cloud Failures Cost Global Economy Hundreds of Billions,2025,False
Ray Dalio says we're in a world war — and it's only just beginning,,False
Amazon Deals of the Day: Put a Samsung Galaxy Watch 8 on Your Wrist for $60 Off,8,False
SoftServe Launches New Brand Identity: ‘Technology Elevated’,,False
F-35 Got Hit,-35,False
IBFD and Vrije Universiteit Amsterdam Announce Launch of an Online Tax & Technology Certificate Programme,,False
"ANSR Announces Launch of ANSR MedTech, a Global Capability Center for High-Growth MedTech Leader",,False
JFE Engineering Corp invests ₹128 cr in 2 projects of Antony Waste Handling Cell in AP,128,False
GILDA Blu-ray Review: The Atypical Noir Gets a Fresh Restoration,,False
India no longer interested in hosting COP33 climate event in 2028,33,False
New Yorkers Like What They See From Mamdani So Far,,False
Readers Write: Chatbots Are Repeating a Familiar Healthcare Mistake,,False
Apple's Three-Year Plan to 'Reinvent' the iPhone is Underway,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Untitled record,,False
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
The King's Speech,,True
Inception,,True
The Social Network,,True
The Fighter,,True
Toy Story 3,3,True
Alice in Wonderland,,True
Black Swan,,True
In a Better World,,True
The Lost Thing,,True
God of Love,,True
The Wolfman,,True
Strangers No More,,True
Inside Job,,True
The Artist,,True
Hugo,,True
The Iron Lady,,True
The Descendants,,True
The Girl with the Dragon Tattoo,,True
Midnight in Paris,,True
The Help,,True
A Separation,,True
The Fantastic Flying Books of Mr. Morris Lessmore,,False
The Shore,,True
Undefeated,,True
The Muppets,,True
Saving Face,,True
Beginners,,True
Rango,,True
Argo,,True
Life of Pi,,True
Les Misérables,,True
Lincoln,,True
Django Unchained,,True
Skyfall,,True
Silver Linings Playbook,,True
Zero Dark Thirty,,True
Amour,,True
Anna Karenina,,True
Paperman,,True
Brave,,True
Searching for Sugar Man,,True
Inocente,,True
Curfew,,True
12 Years a Slave,12,True
Gravity,,True
Dallas Buyers Club,,True
Frozen,,True
The Great Gatsby,,True
Her,,True
Blue Jasmine,,True
Mr Hublot,,True
The Lady in Number 6: Music Saved My Life,6,False
Helium,,True
The Great Beauty,,True
20 Feet from Stardom,20,True
Birdman,,True
The Grand Budapest Hotel,,True
Whiplash,,True
The Imitation Game,,True
American Sniper,,True
Boyhood,,True
Interstellar,,True
The Theory of Everything,,True
Ida,,True
Selma,,True
Citizenfour,,True
Big Hero 6,6,True
Crisis Hotline: Veterans Press 1,1,True
The Phone Call,,True
Still Alice,,True
Feast,,True
Spotlight,,True
Mad Max: Fury Road,,True
The Revenant,,True
Bridge of Spies,,True
The Big Short,,True
The Danish Girl,,True
Room,,True
Ex Machina,,True
The Hateful Eight,,True
Inside Out,,True
Amy,,True
Bear Story,,True
A Girl in the River: The Price of Forgiveness,,False
Son of Saul,,True
Spectre,,True
Stutterer,,True
Untitled record,,False
Untitled record,,False
Untitled record,,False
Crypto Long & Short: Asia’s digital asset crackdown: accountability gets personal,,False
Sony's Super Bright True RGB TV Technology Is Turning Heads,,False
Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout,,False
ADI Predictstreet Secures Gibraltar Regulatory Approval to Scale Its Data-Driven Forecasting Platform Globally,,False
"Microsoft acknowledges Windows 11’s search problems, working on a fix",11,False
Hackers steal and leak sensitive LAPD police documents | TechCrunch,,False
When does a Samsung Galaxy tablet make the difference for your business?,,False
New York Times Guild Slams Paper’s AI Policies as ‘Woefully Inadequate’,,False
(PR) Intel and SambaNova Advance Agentic AI with Xeon 6,6,False
Advancing Novel Surrogate Endpoints For Rare Disease Drug Development Workshop - 05/18/2026,05,False
The Chicago underground rock community grieves engineer Simon Small,,False
Fiserv Hires JPMorgan Executive Adam Hyde to Lead Merchant Operations,,False
CDER and CBER accept first submission to ISTAND Pilot Program,,False
UPSC Quiz – 2026 : IASbaba’s Daily Current Affairs Quiz 8th April 2026,2026,False
"Flow Cytometry Market Set to Surpass USD 12.19 Billion by 2035, Driven by Rising Demand for Precision Diagnostics – SNS Insider",12.19,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Untitled record,,False
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
The King's Speech,,True
Inception,,True
The Social Network,,True
The Fighter,,True
Toy Story 3,3,True
Alice in Wonderland,,True
Black Swan,,True
In a Better World,,True
The Lost Thing,,True
God of Love,,True
The Wolfman,,True
Strangers No More,,True
Inside Job,,True
The Artist,,True
Hugo,,True
The Iron Lady,,True
The Descendants,,True
The Girl with the Dragon Tattoo,,True
Midnight in Paris,,True
The Help,,True
A Separation,,True
The Fantastic Flying Books of Mr. Morris Lessmore,,False
The Shore,,True
Undefeated,,True
The Muppets,,True
Saving Face,,True
Beginners,,True
Rango,,True
Argo,,True
Life of Pi,,True
Les Misérables,,True
Lincoln,,True
Django Unchained,,True
Skyfall,,True
Silver Linings Playbook,,True
Zero Dark Thirty,,True
Amour,,True
Anna Karenina,,True
Paperman,,True
Brave,,True
Searching for Sugar Man,,True
Inocente,,True
Curfew,,True
12 Years a Slave,12,True
Gravity,,True
Dallas Buyers Club,,True
Frozen,,True
The Great Gatsby,,True
Her,,True
Blue Jasmine,,True
Mr Hublot,,True
The Lady in Number 6: Music Saved My Life,6,False
Helium,,True
The Great Beauty,,True
20 Feet from Stardom,20,True
Birdman,,True
The Grand Budapest Hotel,,True
Whiplash,,True
The Imitation Game,,True
American Sniper,,True
Boyhood,,True
Interstellar,,True
The Theory of Everything,,True
Ida,,True
Selma,,True
Citizenfour,,True
Big Hero 6,6,True
Crisis Hotline: Veterans Press 1,1,True
The Phone Call,,True
Still Alice,,True
Feast,,True
Spotlight,,True
Mad Max: Fury Road,,True
The Revenant,,True
Bridge of Spies,,True
The Big Short,,True
The Danish Girl,,True
Room,,True
Ex Machina,,True
The Hateful Eight,,True
Inside Out,,True
Amy,,True
Bear Story,,True
A Girl in the River: The Price of Forgiveness,,False
Son of Saul,,True
Spectre,,True
Stutterer,,True
Untitled record,,False
Untitled record,,False
Untitled record,,False
Zinc7 Claims Evaluated: The Most Potent Zinc Supplement on the Market by True Cellular Formulas,7,False
"Big money wants a seat in deals, not just funds—and it’s reshaping India’s private markets",,False
"War disruptions fuel interest in EV retrofits, demand more than doubles",,False
"NHRC member defends notice to MeitY, says child safety concerns override pending DPDP enforcement",,False
Central government yet to notify selection panels for data protection board,,False
Startups spot a cool opening as ACs become everyday need,,False
Brain health startup Ivory develops 'treadmill test' for brain; focusses on cognitive health in India,,False
Moving up the value chain proves costly as tech majors and GCCs slash jobs,,False
"In the face of rampant AI, is ‘data poisoning’ a new form of civil disobedience?",,False
Gatchaman #17 Preview: Science Ninjas Vs. Alien Nerds,17,False
Together we can eradicate this stowaway menace,,False
Nigeria’s painful loss of military men to insurgency,,False
Lagos college warns aesthetic medicine students on safety,,False
WATCH: Video captures moment hero principal takes down gunman at Oklahoma high school,,False
"WATCH: Rock & Roll Hall of Fame's class of 2026 includes Phil Collins, Wu-Tang Clan and more",2026,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Untitled record,,False
Election Update,,True
AI Market Growth,,True
Sports Highlights,,True
Climate Policy Shift,,True
Café Culture Trends,,True
München Startup Round,,True
Žurnal Election Pulse,,True
Streaming Rights Watch,,True
Weekend Match Buzz,,True
Inflation Briefing,,True
Untitled record,,True
Untitled record,,False
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
Untitled record,,True
