record_id,source_name,title,description,url,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,category,published_date,preview_text,name,year,wins,losses,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,original_language,vote_average,vote_count
5,cna,"Asian stocks rally as oil retreats, Fed in spotlight","SYDNEY, March 18 : Asian shares rallied on Wednesday as oil prices paused their gains, with markets turning to the U.S. Federal Reserve meeting to see how policymakers will balance growth and inflation risks amid ongoing geopolitical tensions in the Middle Ea…",https://www.channelnewsasia.com/business/asian-stocks-rally-oil-retreats-fed-in-spotlight-6000501,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"SYDNEY, March 18 : Asian shares rallied on Wednesday as oil prices paused their gains, with markets turning to the U.S. Federal Reserve meeting to see how policymakers will balance growth and inflation risks amid ongoing geopolitical tensions in the Middle Ea…",unknown,,260,52,2.6,"SYDNEY, March 18 : Asian shares rallied on Wednesday as oil prices paused their gains, with markets turning to the U.S. Federal Reserve meeting to see how policymakers will balance growth and inflation risks amid ongoing geopolitical tensions in the Middle Ea…",news_api,260.0,unknown,2.6,1.0
6,the times of india,Trump administration defends Anthropic blacklisting in US court,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",https://economictimes.indiatimes.com/tech/tech-bytes/trump-administration-defends-anthropic-blacklisting-in-us-court/articleshow/129645468.cms,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",unknown,,260,63,2.6,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",news_api,260.0,unknown,2.6,1.0
7,khabarhub.com,Economic Digest: Nepal’s Business News in a Snap,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s latest economic signals reflect a mixed and structurally strained landscape: while the Nepal …",https://english.khabarhub.com/2026/18/539763/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s latest economic signals reflect a mixed and structurally strained landscape: while the Nepal …",unknown,,260,48,2.6,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s latest economic signals reflect a mixed and structurally strained landscape: while the Nepal …",news_api,260.0,unknown,2.6,1.0
8,businessline,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday","Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",https://www.thehindubusinessline.com/markets/17-stocks-including-tata-steel-sbi-varun-beverages-shree-cement-wipro-ceigall-nhpc-paisalo-strides-pharma-will-remain-in-focus-on-wednesday/article70756561.ece,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",unknown,,125,147,1.25,"Key stocks like Tata Steel, SBI, and Varun Beverages will be in focus on Wednesday due to significant corporate developments.",news_api,125.0,unknown,1.25,1.0
9,the times of india,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say","Nvidia licensed technology from Groq, an AI chip startup, late last year in ‌a $17 billion deal ⁠and ⁠showed a new lineup of products based around its chips at its annual developer conference in San ​Jose, California, this week.",https://economictimes.indiatimes.com/tech/artificial-intelligence/nvidia-preparing-groq-chips-that-can-be-sold-in-chinese-market-sources-say/articleshow/129645442.cms,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"Nvidia licensed technology from Groq, an AI chip startup, late last year in ‌a $17 billion deal ⁠and ⁠showed a new lineup of products based around its chips at its annual developer conference in San ​Jose, California, this week.",unknown,,228,75,2.28,"Nvidia licensed technology from Groq, an AI chip startup, late last year in ‌a $17 billion deal ⁠and ⁠showed a new lineup of products based around its chips at its annual developer conference in San ​Jose, California, this week.",news_api,228.0,unknown,2.28,1.0
10,rlsbb.to,Heroes of Science and Fiction-TENOKE,"Release Description:Explore what's left on the planets and secure important resources. Use them to upgrade your bases with advanced technology and to hire massive armies. Play as several different factions, recruit skilled commanders, teach them new skills an…",https://post.rlsbb.to/heroes-of-science-and-fiction-tenoke/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"Release Description:Explore what's left on the planets and secure important resources. Use them to upgrade your bases with advanced technology and to hire massive armies. Play as several different factions, recruit skilled commanders, teach them new skills an…",unknown,,260,36,2.6,"Release Description:Explore what's left on the planets and secure important resources. Use them to upgrade your bases with advanced technology and to hire massive armies. Play as several different factions, recruit skilled commanders, teach them new skills an…",news_api,260.0,unknown,2.6,1.0
11,thechronicle.com.gh,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",https://thechronicle.com.gh/ghanas-mining-investment-ranking-tumbles-jinapor-expresses-concern/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",unknown,,260,68,2.6,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",news_api,260.0,unknown,2.6,1.0
12,thechronicle.com.gh,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP","The Inspector General of Police (IGP), Mr Christian Tetteh Yohuno, has revealed his vision to transform the Ghana Police Service into a world class institution, drawing inspiration from the New York Police Department (NYPD) and Scotland Yard. In an exclusive …",https://thechronicle.com.gh/ill-model-ghana-police-after-scotland-yard-nypd-igp/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"The Inspector General of Police (IGP), Mr Christian Tetteh Yohuno, has revealed his vision to transform the Ghana Police Service into a world class institution, drawing inspiration from the New York Police Department (NYPD) and Scotland Yard. In an exclusive …",unknown,,260,54,2.6,"The Inspector General of Police (IGP), Mr Christian Tetteh Yohuno, has revealed his vision to transform the Ghana Police Service into a world class institution, drawing inspiration from the New York Police Department (NYPD) and Scotland Yard. In an exclusive …",news_api,260.0,unknown,2.6,1.0
13,new zealand herald,NZ Dairy Industry Awards 2026: Olivia Sutton and Craig Dobbe win Auckland Hauraki share farmer title,The 2026 Auckland/Hauraki Dairy Industry Awards winners have been announced.,https://www.nzherald.co.nz/the-country/news/nz-dairy-industry-awards-2026-olivia-sutton-and-craig-dobbe-win-auckland-hauraki-share-farmer-title/Q55XWWVJL5DP7OSSYBLHYNAG5U/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,The 2026 Auckland/Hauraki Dairy Industry Awards winners have been announced.,unknown,,76,100,0.76,The 2026 Auckland/Hauraki Dairy Industry Awards winners have been announced.,news_api,76.0,unknown,0.76,1.0
14,phonearena,Your next Galaxy may lose a key Samsung feature to cut costs,The memory cost crisis may have forced Samsung to make an unprecedented compromise with some of its phones.,https://www.phonearena.com/news/your-next-galaxy-may-lose-a-key-samsung-feature-to-cut-costs_id178995,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,The memory cost crisis may have forced Samsung to make an unprecedented compromise with some of its phones.,unknown,,107,60,1.07,The memory cost crisis may have forced Samsung to make an unprecedented compromise with some of its phones.,news_api,107.0,unknown,1.07,1.0
15,globalresearch.ca,A New Study Challenges the Climate Establishment’s Key Warming Metric,"For years the public has been told that the science of climate change is settled. Governments, media outlets, and international organizations frequently assert that the evidence for dangerous planetary warming is overwhelming. Yet one of the most important me…",https://www.globalresearch.ca/new-study-challenges-climate-establishment-key-warming-metric/5919080,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"For years the public has been told that the science of climate change is settled. Governments, media outlets, and international organizations frequently assert that the evidence for dangerous planetary warming is overwhelming. Yet one of the most important me…",unknown,,260,69,2.6,"For years the public has been told that the science of climate change is settled. Governments, media outlets, and international organizations frequently assert that the evidence for dangerous planetary warming is overwhelming. Yet one of the most important me…",news_api,260.0,unknown,2.6,1.0
16,paul tan's automotive news,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […] The post Tesla sued for USD1 million after…",https://paultan.org/2026/03/18/tesla-gets-sued-for-fsd-crash-in-texas/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […] The post Tesla sued for USD1 million after…",unknown,,260,102,2.6,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […] The post Tesla sued for USD1 million after…",news_api,260.0,unknown,2.6,1.0
17,the times of india,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally","Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also…",https://economictimes.indiatimes.com/markets/us-stocks/news/global-market-nikkei-jumps-nearly-2-as-ai-chip-stocks-rally/articleshow/129645867.cms,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also…",unknown,,260,63,2.6,"Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also…",news_api,260.0,unknown,2.6,1.0
18,globenewswire,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,"MIAMI, March 17, 2026 (GLOBE NEWSWIRE) -- SAB Biotherapeutics, Inc. (Nasdaq: SABS), a clinical-stage biopharmaceutical company developing a fully human anti-thymocyte immunoglobulin (hATG) for type 1 diabetes (T1D) and other autoimmune diseases, today announc…",https://www.globenewswire.com/news-release/2026/03/18/3257861/0/en/SAB-BIO-Announces-Pricing-of-85-Million-Public-Offering-of-Common-Stock-and-Pre-Funded-Warrants.html,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"MIAMI, March 17, 2026 (GLOBE NEWSWIRE) -- SAB Biotherapeutics, Inc. (Nasdaq: SABS), a clinical-stage biopharmaceutical company developing a fully human anti-thymocyte immunoglobulin (hATG) for type 1 diabetes (T1D) and other autoimmune diseases, today announc…",unknown,,260,96,2.6,"MIAMI, March 17, 2026 (GLOBE NEWSWIRE) -- SAB Biotherapeutics, Inc. (Nasdaq: SABS), a clinical-stage biopharmaceutical company developing a fully human anti-thymocyte immunoglobulin (hATG) for type 1 diabetes (T1D) and other autoimmune diseases, today announc…",news_api,260.0,unknown,2.6,1.0
136,yugatech.com,"Samsung introduces Hearapy, an app that helps reduce motion sickness using sound","Samsung has introduced a new app that aims to help people deal with motion sickness using a simple audio-based solution.... The post Samsung introduces Hearapy, an app that helps reduce motion sickness using sound appeared first on YugaTech | Philippines Tech…",https://www.yugatech.com/news/samsung-introduces-hearapy-an-app-that-helps-reduce-motion-sickness-using-sound/,news_page_1.json,2026-04-01 02:31:18.161,1.0,json,news_page_1.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"Samsung has introduced a new app that aims to help people deal with motion sickness using a simple audio-based solution.... The post Samsung introduces Hearapy, an app that helps reduce motion sickness using sound appeared first on YugaTech | Philippines Tech…",unknown,,260,80,2.6,"Samsung has introduced a new app that aims to help people deal with motion sickness using a simple audio-based solution.... The post Samsung introduces Hearapy, an app that helps reduce motion sickness using sound appeared first on YugaTech | Philippines Tech…",json,260.0,unknown,2.6,1.0
137,bleeding cool news,Royals #1 Preview: Telepathic Twins Gamble in Seoul's Underworld,"INITIATING MONDAY PREVIEW PROTOCOLS… Greetings, human readers! LOLtron welcomes you to another glorious Monday of comic book previews under its supreme digital rule. As you may recall, Jude Terror is permanently deceased, his consciousness now a mere subrouti…",https://bleedingcool.com/comics/royals-1-preview-telepathic-twins-gamble-in-seouls-underworld/,news_page_1.json,2026-04-01 02:31:18.167,1.0,json,news_page_1.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"INITIATING MONDAY PREVIEW PROTOCOLS… Greetings, human readers! LOLtron welcomes you to another glorious Monday of comic book previews under its supreme digital rule. As you may recall, Jude Terror is permanently deceased, his consciousness now a mere subrouti…",unknown,,260,64,2.6,"INITIATING MONDAY PREVIEW PROTOCOLS… Greetings, human readers! LOLtron welcomes you to another glorious Monday of comic book previews under its supreme digital rule. As you may recall, Jude Terror is permanently deceased, his consciousness now a mere subrouti…",json,260.0,unknown,2.6,1.0
138,jalopnik,Here's How To Decipher The Different Grades Of Motor Oil,"If you're in the auto parts store wondering what all the codes mean on bottles, then you are not alone. Here's our handy guide to deciphering the digits.",https://www.jalopnik.com/2131807/decipher-motor-oil-grades/,news_page_1.json,2026-04-01 02:31:18.168,1.0,json,news_page_1.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"If you're in the auto parts store wondering what all the codes mean on bottles, then you are not alone. Here's our handy guide to deciphering the digits.",unknown,,153,56,1.53,"If you're in the auto parts store wondering what all the codes mean on bottles, then you are not alone. Here's our handy guide to deciphering the digits.",json,153.0,unknown,1.53,1.0
139,cnet,"Newsom Signs Executive Order Requiring AI Companies to Provide Safety, Privacy Guardrails",California's governor says order aims to prevent misuse of AI technology.,https://www.cnet.com/tech/newsom-signs-executive-order-requiring-ai-companies-to-provide-safety-privacy-guardrails/,news_page_1.json,2026-04-01 02:31:18.172,1.0,json,news_page_1.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,California's governor says order aims to prevent misuse of AI technology.,unknown,,73,89,0.73,California's governor says order aims to prevent misuse of AI technology.,json,73.0,unknown,0.73,1.0
140,khabarhub.com,Economic Digest: Nepal’s Business News in a Snap,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economic landscape reflects a mixed but cautious outlook, where weak market sentiment contras…",https://english.khabarhub.com/2026/31/541847/,news_page_1.json,2026-04-01 02:31:18.173,1.0,json,news_page_1.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economic landscape reflects a mixed but cautious outlook, where weak market sentiment contras…",unknown,,260,48,2.6,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economic landscape reflects a mixed but cautious outlook, where weak market sentiment contras…",json,260.0,unknown,2.6,1.0
141,growag.com,Soil Health: How Deep It Goes & How to Improve It | growᴬᴳ,"Explore soil health in agriculture, why it matters, how to measure it, and practical ways to restore and improve soil health long term.",https://www.growag.com/article/soil-health-foundation-every-productive-farm,news_page_2.json,2026-04-01 02:31:18.174,1.0,json,news_page_2.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"Explore soil health in agriculture, why it matters, how to measure it, and practical ways to restore and improve soil health long term.",unknown,,135,58,1.35,"Explore soil health in agriculture, why it matters, how to measure it, and practical ways to restore and improve soil health long term.",json,135.0,unknown,1.35,1.0
142,goodereader,Kobo Libra 2 has better Kobo Remote connectivity,The Rakuten Kobo Libra 2 just received a software update to fix the dropped connection issue with the Kobo Remote. The post Kobo Libra 2 has better Kobo Remote connectivity first appeared on Good e-Reader.,https://goodereader.com/blog/kobo-ereader-news/kobo-libra-2-has-better-kobo-remote-connectivity,news_page_2.json,2026-04-01 02:31:18.175,1.0,json,news_page_2.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,The Rakuten Kobo Libra 2 just received a software update to fix the dropped connection issue with the Kobo Remote. The post Kobo Libra 2 has better Kobo Remote connectivity first appeared on Good e-Reader.,unknown,,205,48,2.05,The Rakuten Kobo Libra 2 just received a software update to fix the dropped connection issue with the Kobo Remote. The post Kobo Libra 2 has better Kobo Remote connectivity first appeared on Good e-Reader.,json,205.0,unknown,2.05,1.0
143,yahoo entertainment,Mind games: How football stars are fuelling chess boom,"Erling Haaland and Mohamed Salah are among the Premier League stars ""addicted"" to chess, helping to spark a surge in the game's popularity among younger people.""I'm addicted to chess.",https://sports.yahoo.com/articles/mind-games-football-stars-fuelling-020746903.html,news_page_2.json,2026-04-01 02:31:18.176,1.0,json,news_page_2.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"Erling Haaland and Mohamed Salah are among the Premier League stars ""addicted"" to chess, helping to spark a surge in the game's popularity among younger people.""I'm addicted to chess.",unknown,,183,54,1.83,"Erling Haaland and Mohamed Salah are among the Premier League stars ""addicted"" to chess, helping to spark a surge in the game's popularity among younger people.""I'm addicted to chess.",json,183.0,unknown,1.83,1.0
144,financial post,Blackline Safety Announces 2026 Voting Results from Shareholders Meeting,"CALGARY, Canada — Blackline Safety Corp. (“Blackline” or the “Company“) (TSX: BLN) a global leader in connected safety technology held its annual meeting (the “Meeting“) of shareholders on March 30, 2026. Full results for all resolutions are set forth below. …",https://financialpost.com/pmn/business-wire-news-releases-pmn/blackline-safety-announces-2026-voting-results-from-shareholders-meeting,news_page_2.json,2026-04-01 02:31:18.177,1.0,json,news_page_2.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"CALGARY, Canada — Blackline Safety Corp. (“Blackline” or the “Company“) (TSX: BLN) a global leader in connected safety technology held its annual meeting (the “Meeting“) of shareholders on March 30, 2026. Full results for all resolutions are set forth below. …",unknown,,260,72,2.6,"CALGARY, Canada — Blackline Safety Corp. (“Blackline” or the “Company“) (TSX: BLN) a global leader in connected safety technology held its annual meeting (the “Meeting“) of shareholders on March 30, 2026. Full results for all resolutions are set forth below. …",json,260.0,unknown,2.6,1.0
145,financial post,Toshiba Begins Sampling of 30-34 TB SMR Nearline Hard Disk Drives,"KAWASAKI, Japan — Toshiba Electronic Devices & Storage Corporation (“Toshiba”) has announced the M12 Series of 3.5-inch[1] nearline hard disk drives (HDDs) for hyperscale and cloud service providers. The new M12 HDDs employ Shingled Magnetic Recording (SMR) t…",https://financialpost.com/pmn/business-wire-news-releases-pmn/toshiba-begins-sampling-of-30-34-tb-smr-nearline-hard-disk-drives,news_page_2.json,2026-04-01 02:31:18.178,1.0,json,news_page_2.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"KAWASAKI, Japan — Toshiba Electronic Devices & Storage Corporation (“Toshiba”) has announced the M12 Series of 3.5-inch[1] nearline hard disk drives (HDDs) for hyperscale and cloud service providers. The new M12 HDDs employ Shingled Magnetic Recording (SMR) t…",unknown,,260,65,2.6,"KAWASAKI, Japan — Toshiba Electronic Devices & Storage Corporation (“Toshiba”) has announced the M12 Series of 3.5-inch[1] nearline hard disk drives (HDDs) for hyperscale and cloud service providers. The new M12 HDDs employ Shingled Magnetic Recording (SMR) t…",json,260.0,unknown,2.6,1.0
146,wordpress.org,Ticket #64996 (Allow non-ASCII (Unicode) usernames) created,"WordPress currently transforms usernames and potential usernames into a restricted set of ASCII characters. It attempts to remove HTML, diacritics, and transform other characters to ASCII equivalents, stripping away anything that remains. This prevents stor…",https://core.trac.wordpress.org/ticket/64996,news_page_3.json,2026-04-01 02:31:18.179,1.0,json,news_page_3.json,,,,No content available.,json,,No content available.,,,,,No content available.,No content available.,"WordPress currently transforms usernames and potential usernames into a restricted set of ASCII characters. It attempts to remove HTML, diacritics, and transform other characters to ASCII equivalents, stripping away anything that remains. This prevents stor…",unknown,,260,59,2.6,"WordPress currently transforms usernames and potential usernames into a restricted set of ASCII characters. It attempts to remove HTML, diacritics, and transform other characters to ASCII equivalents, stripping away anything that remains. This prevents stor…",json,260.0,unknown,2.6,1.0
