record_id,title,content_text,category,document_type
214,Inflation Briefing,Inflation Briefing,Business,excel
215,Untitled record,Untitled record,excel_summary,excel_summary
217,Untitled record,Untitled record,scraped_html,scraped_html
218,Untitled record,Untitled record,scraped_html,scraped_html
219,Untitled record,Untitled record,scraped_html,scraped_html
220,Untitled record,Untitled record,scraped_html,scraped_html
221,Untitled record,Untitled record,scraped_html,scraped_html
222,Untitled record,Untitled record,scraped_html,scraped_html
223,Untitled record,Untitled record,scraped_html,scraped_html
224,Untitled record,Untitled record,scraped_html,scraped_html
225,Untitled record,Untitled record,scraped_html,scraped_html
226,Untitled record,Untitled record,scraped_html,scraped_html
227,Untitled record,Untitled record,scraped_html,scraped_html
228,Untitled record,Untitled record,scraped_html,scraped_html
229,Untitled record,Untitled record,scraped_html,scraped_html
230,Untitled record,Untitled record,scraped_html,scraped_html
231,Untitled record,Untitled record,scraped_html,scraped_html
232,Untitled record,Untitled record,scraped_html,scraped_html
233,Untitled record,Untitled record,scraped_html,scraped_html
234,Untitled record,Untitled record,scraped_html,scraped_html
235,Untitled record,Untitled record,scraped_html,scraped_html
236,Untitled record,Untitled record,scraped_html,scraped_html
237,Untitled record,Untitled record,scraped_html,scraped_html
238,Untitled record,Untitled record,scraped_html,scraped_html
239,Untitled record,Untitled record,scraped_html,scraped_html
240,Untitled record,Untitled record,scraped_html,scraped_html
241,Untitled record,Untitled record,scraped_html,scraped_html
242,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
243,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
244,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
245,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
246,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
247,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
248,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
249,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
250,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
251,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
252,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
253,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
254,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
255,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
256,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
257,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
258,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
259,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
260,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
261,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
262,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
263,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
264,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
265,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
266,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
267,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
268,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
269,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
270,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
271,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
272,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
273,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
274,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
275,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
276,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
277,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
278,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
279,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
280,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
281,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
282,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
283,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
284,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
285,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
286,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
287,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
288,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
289,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
290,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
291,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
292,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
293,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
294,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
295,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
296,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
297,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
298,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
299,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
300,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
301,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
302,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
303,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
304,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
305,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
306,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
307,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
308,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
309,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
310,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
311,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
312,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
313,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
314,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
315,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
316,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
317,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
318,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
319,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
320,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
321,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
322,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
323,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
324,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
325,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
326,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
327,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
328,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
329,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
330,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
331,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
332,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
333,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
334,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
335,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
336,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
337,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
338,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
339,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
340,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
341,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
342,The King's Speech,The King's Speech,scraped_json_api,scraped_json_api
343,Inception,Inception,scraped_json_api,scraped_json_api
344,The Social Network,The Social Network,scraped_json_api,scraped_json_api
345,The Fighter,The Fighter,scraped_json_api,scraped_json_api
346,Toy Story 3,Toy Story 3,scraped_json_api,scraped_json_api
347,Alice in Wonderland,Alice in Wonderland,scraped_json_api,scraped_json_api
348,Black Swan,Black Swan,scraped_json_api,scraped_json_api
349,In a Better World,In a Better World,scraped_json_api,scraped_json_api
350,The Lost Thing,The Lost Thing,scraped_json_api,scraped_json_api
351,God of Love,God of Love,scraped_json_api,scraped_json_api
352,The Wolfman,The Wolfman,scraped_json_api,scraped_json_api
353,Strangers No More,Strangers No More,scraped_json_api,scraped_json_api
354,Inside Job,Inside Job,scraped_json_api,scraped_json_api
355,The Artist,The Artist,scraped_json_api,scraped_json_api
356,Hugo,Hugo,scraped_json_api,scraped_json_api
357,The Iron Lady,The Iron Lady,scraped_json_api,scraped_json_api
358,The Descendants,The Descendants,scraped_json_api,scraped_json_api
359,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,scraped_json_api,scraped_json_api
360,Midnight in Paris,Midnight in Paris,scraped_json_api,scraped_json_api
361,The Help,The Help,scraped_json_api,scraped_json_api
362,A Separation,A Separation,scraped_json_api,scraped_json_api
364,The Shore,The Shore,scraped_json_api,scraped_json_api
365,Undefeated,Undefeated,scraped_json_api,scraped_json_api
366,The Muppets,The Muppets,scraped_json_api,scraped_json_api
367,Saving Face,Saving Face,scraped_json_api,scraped_json_api
368,Beginners,Beginners,scraped_json_api,scraped_json_api
369,Rango,Rango,scraped_json_api,scraped_json_api
370,Argo,Argo,scraped_json_api,scraped_json_api
371,Life of Pi,Life of Pi,scraped_json_api,scraped_json_api
372,Les Misérables,Les Misérables,scraped_json_api,scraped_json_api
373,Lincoln,Lincoln,scraped_json_api,scraped_json_api
374,Django Unchained,Django Unchained,scraped_json_api,scraped_json_api
375,Skyfall,Skyfall,scraped_json_api,scraped_json_api
376,Silver Linings Playbook,Silver Linings Playbook,scraped_json_api,scraped_json_api
377,Zero Dark Thirty,Zero Dark Thirty,scraped_json_api,scraped_json_api
378,Amour,Amour,scraped_json_api,scraped_json_api
379,Anna Karenina,Anna Karenina,scraped_json_api,scraped_json_api
380,Paperman,Paperman,scraped_json_api,scraped_json_api
381,Brave,Brave,scraped_json_api,scraped_json_api
382,Searching for Sugar Man,Searching for Sugar Man,scraped_json_api,scraped_json_api
383,Inocente,Inocente,scraped_json_api,scraped_json_api
384,Curfew,Curfew,scraped_json_api,scraped_json_api
385,12 Years a Slave,12 Years a Slave,scraped_json_api,scraped_json_api
386,Gravity,Gravity,scraped_json_api,scraped_json_api
387,Dallas Buyers Club,Dallas Buyers Club,scraped_json_api,scraped_json_api
388,Frozen,Frozen,scraped_json_api,scraped_json_api
389,The Great Gatsby,The Great Gatsby,scraped_json_api,scraped_json_api
390,Her,Her,scraped_json_api,scraped_json_api
391,Blue Jasmine,Blue Jasmine,scraped_json_api,scraped_json_api
392,Mr Hublot,Mr Hublot,scraped_json_api,scraped_json_api
394,Helium,Helium,scraped_json_api,scraped_json_api
395,The Great Beauty,The Great Beauty,scraped_json_api,scraped_json_api
396,20 Feet from Stardom,20 Feet from Stardom,scraped_json_api,scraped_json_api
397,Birdman,Birdman,scraped_json_api,scraped_json_api
398,The Grand Budapest Hotel,The Grand Budapest Hotel,scraped_json_api,scraped_json_api
399,Whiplash,Whiplash,scraped_json_api,scraped_json_api
400,The Imitation Game,The Imitation Game,scraped_json_api,scraped_json_api
401,American Sniper,American Sniper,scraped_json_api,scraped_json_api
402,Boyhood,Boyhood,scraped_json_api,scraped_json_api
403,Interstellar,Interstellar,scraped_json_api,scraped_json_api
404,The Theory of Everything,The Theory of Everything,scraped_json_api,scraped_json_api
405,Ida,Ida,scraped_json_api,scraped_json_api
406,Selma,Selma,scraped_json_api,scraped_json_api
407,Citizenfour,Citizenfour,scraped_json_api,scraped_json_api
408,Big Hero 6,Big Hero 6,scraped_json_api,scraped_json_api
409,Crisis Hotline: Veterans Press 1,Crisis Hotline: Veterans Press 1,scraped_json_api,scraped_json_api
410,The Phone Call,The Phone Call,scraped_json_api,scraped_json_api
411,Still Alice,Still Alice,scraped_json_api,scraped_json_api
412,Feast,Feast,scraped_json_api,scraped_json_api
413,Spotlight  ,Spotlight  ,scraped_json_api,scraped_json_api
414,Mad Max: Fury Road ,Mad Max: Fury Road ,scraped_json_api,scraped_json_api
415,The Revenant   ,The Revenant   ,scraped_json_api,scraped_json_api
416,Bridge of Spies,Bridge of Spies,scraped_json_api,scraped_json_api
417,The Big Short  ,The Big Short  ,scraped_json_api,scraped_json_api
418,The Danish Girl,The Danish Girl,scraped_json_api,scraped_json_api
419,Room   ,Room   ,scraped_json_api,scraped_json_api
420,Ex Machina ,Ex Machina ,scraped_json_api,scraped_json_api
421,The Hateful Eight  ,The Hateful Eight  ,scraped_json_api,scraped_json_api
422,Inside Out ,Inside Out ,scraped_json_api,scraped_json_api
423,Amy,Amy,scraped_json_api,scraped_json_api
424,Bear Story ,Bear Story ,scraped_json_api,scraped_json_api
426,Son of Saul,Son of Saul,scraped_json_api,scraped_json_api
427,Spectre,Spectre,scraped_json_api,scraped_json_api
428,Stutterer  ,Stutterer  ,scraped_json_api,scraped_json_api
461,Election Update,Election Update,Politics,excel
462,AI Market Growth,AI Market Growth,Business,excel
463,Sports Highlights,Sports Highlights,Sports,excel
464,Climate Policy Shift,Climate Policy Shift,Politics,excel
465,Café Culture Trends,Café Culture Trends,Culture,excel
466,München Startup Round,München Startup Round,Technology,excel
467,Žurnal Election Pulse,Žurnal Election Pulse,Politics,excel
468,Streaming Rights Watch,Streaming Rights Watch,Business,excel
469,Weekend Match Buzz,Weekend Match Buzz,Sports,excel
470,Inflation Briefing,Inflation Briefing,Business,excel
471,Untitled record,Untitled record,excel_summary,excel_summary
473,Untitled record,Untitled record,scraped_html,scraped_html
474,Untitled record,Untitled record,scraped_html,scraped_html
475,Untitled record,Untitled record,scraped_html,scraped_html
476,Untitled record,Untitled record,scraped_html,scraped_html
477,Untitled record,Untitled record,scraped_html,scraped_html
478,Untitled record,Untitled record,scraped_html,scraped_html
479,Untitled record,Untitled record,scraped_html,scraped_html
480,Untitled record,Untitled record,scraped_html,scraped_html
481,Untitled record,Untitled record,scraped_html,scraped_html
482,Untitled record,Untitled record,scraped_html,scraped_html
483,Untitled record,Untitled record,scraped_html,scraped_html
484,Untitled record,Untitled record,scraped_html,scraped_html
485,Untitled record,Untitled record,scraped_html,scraped_html
486,Untitled record,Untitled record,scraped_html,scraped_html
487,Untitled record,Untitled record,scraped_html,scraped_html
488,Untitled record,Untitled record,scraped_html,scraped_html
489,Untitled record,Untitled record,scraped_html,scraped_html
490,Untitled record,Untitled record,scraped_html,scraped_html
491,Untitled record,Untitled record,scraped_html,scraped_html
492,Untitled record,Untitled record,scraped_html,scraped_html
493,Untitled record,Untitled record,scraped_html,scraped_html
494,Untitled record,Untitled record,scraped_html,scraped_html
495,Untitled record,Untitled record,scraped_html,scraped_html
496,Untitled record,Untitled record,scraped_html,scraped_html
497,Untitled record,Untitled record,scraped_html,scraped_html
498,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
499,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
500,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
501,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
502,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
503,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
504,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
505,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
506,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
507,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
508,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
509,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
510,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
511,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
512,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
513,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
514,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
515,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
516,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
517,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
518,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
519,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
520,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
521,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
522,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
523,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
524,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
525,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
526,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
527,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
528,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
529,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
530,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
531,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
532,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
533,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
534,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
535,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
536,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
537,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
538,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
539,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
540,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
541,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
542,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
543,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
544,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
545,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
546,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
547,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
548,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
549,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
550,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
551,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
552,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
553,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
554,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
555,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
556,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
557,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
558,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
559,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
560,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
561,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
562,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
563,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
564,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
565,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
566,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
567,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
568,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
569,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
570,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
571,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
572,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
573,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
574,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
575,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
576,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
577,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
578,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
579,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
580,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
581,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
582,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
583,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
584,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
585,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
586,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
587,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
588,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
589,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
590,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
591,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
592,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
593,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
594,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
595,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
596,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
597,Untitled record,Untitled record,scraped_html_paginated,scraped_html_paginated
598,The King's Speech,The King's Speech,scraped_json_api,scraped_json_api
599,Inception,Inception,scraped_json_api,scraped_json_api
600,The Social Network,The Social Network,scraped_json_api,scraped_json_api
601,The Fighter,The Fighter,scraped_json_api,scraped_json_api
602,Toy Story 3,Toy Story 3,scraped_json_api,scraped_json_api
603,Alice in Wonderland,Alice in Wonderland,scraped_json_api,scraped_json_api
604,Black Swan,Black Swan,scraped_json_api,scraped_json_api
605,In a Better World,In a Better World,scraped_json_api,scraped_json_api
606,The Lost Thing,The Lost Thing,scraped_json_api,scraped_json_api
607,God of Love,God of Love,scraped_json_api,scraped_json_api
608,The Wolfman,The Wolfman,scraped_json_api,scraped_json_api
609,Strangers No More,Strangers No More,scraped_json_api,scraped_json_api
610,Inside Job,Inside Job,scraped_json_api,scraped_json_api
611,The Artist,The Artist,scraped_json_api,scraped_json_api
612,Hugo,Hugo,scraped_json_api,scraped_json_api
613,The Iron Lady,The Iron Lady,scraped_json_api,scraped_json_api
614,The Descendants,The Descendants,scraped_json_api,scraped_json_api
615,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,scraped_json_api,scraped_json_api
616,Midnight in Paris,Midnight in Paris,scraped_json_api,scraped_json_api
617,The Help,The Help,scraped_json_api,scraped_json_api
618,A Separation,A Separation,scraped_json_api,scraped_json_api
620,The Shore,The Shore,scraped_json_api,scraped_json_api
621,Undefeated,Undefeated,scraped_json_api,scraped_json_api
622,The Muppets,The Muppets,scraped_json_api,scraped_json_api
623,Saving Face,Saving Face,scraped_json_api,scraped_json_api
624,Beginners,Beginners,scraped_json_api,scraped_json_api
625,Rango,Rango,scraped_json_api,scraped_json_api
626,Argo,Argo,scraped_json_api,scraped_json_api
627,Life of Pi,Life of Pi,scraped_json_api,scraped_json_api
628,Les Misérables,Les Misérables,scraped_json_api,scraped_json_api
629,Lincoln,Lincoln,scraped_json_api,scraped_json_api
630,Django Unchained,Django Unchained,scraped_json_api,scraped_json_api
631,Skyfall,Skyfall,scraped_json_api,scraped_json_api
632,Silver Linings Playbook,Silver Linings Playbook,scraped_json_api,scraped_json_api
633,Zero Dark Thirty,Zero Dark Thirty,scraped_json_api,scraped_json_api
634,Amour,Amour,scraped_json_api,scraped_json_api
635,Anna Karenina,Anna Karenina,scraped_json_api,scraped_json_api
636,Paperman,Paperman,scraped_json_api,scraped_json_api
637,Brave,Brave,scraped_json_api,scraped_json_api
638,Searching for Sugar Man,Searching for Sugar Man,scraped_json_api,scraped_json_api
639,Inocente,Inocente,scraped_json_api,scraped_json_api
640,Curfew,Curfew,scraped_json_api,scraped_json_api
